timestamp,key,device_id,parameter,n_samples,metric_name,metric,model_type,status,reason,predicted
2026-06-10T22:00:57.539455,Smart Motorized Blinds__Open/Close Percentage,Smart Motorized Blinds,Open/Close Percentage,0,REJECTION,,schema,REJECTED,Unknown: Smart Motorized Blinds/Open/Close Percentage,62.99419179894177
2026-06-10T22:00:58.359112,Smart Motorized Blinds__Open/Close Percentage,Smart Motorized Blinds,Open/Close Percentage,0,REJECTION,,schema,REJECTED,Unknown: Smart Motorized Blinds/Open/Close Percentage,62.99419179894177
2026-06-10T22:01:34.603597,Smart Motorized Blinds__Open/Close Percentage,Smart Motorized Blinds,Open/Close Percentage,0,REJECTION,,schema,REJECTED,Unknown: Smart Motorized Blinds/Open/Close Percentage,62.99419179894177
2026-06-10T22:01:35.411963,Smart Motorized Blinds__Open/Close Percentage,Smart Motorized Blinds,Open/Close Percentage,0,REJECTION,,schema,REJECTED,Unknown: Smart Motorized Blinds/Open/Close Percentage,62.99419179894177
2026-06-10T22:01:44.290731,Smart Motorized Blinds__Open/Close Percentage,Smart Motorized Blinds,Open/Close Percentage,0,REJECTION,,schema,REJECTED,Unknown: Smart Motorized Blinds/Open/Close Percentage,62.99419179894177
2026-06-10T22:01:45.331820,Smart Motorized Blinds__Open/Close Percentage,Smart Motorized Blinds,Open/Close Percentage,0,REJECTION,,schema,REJECTED,Unknown: Smart Motorized Blinds/Open/Close Percentage,62.99419179894177
2026-06-10T22:01:46.257701,Smart Motorized Blinds__Open/Close Percentage,Smart Motorized Blinds,Open/Close Percentage,0,REJECTION,,schema,REJECTED,Unknown: Smart Motorized Blinds/Open/Close Percentage,62.99419179894177
2026-06-10T22:01:47.296179,Smart Motorized Blinds__Open/Close Percentage,Smart Motorized Blinds,Open/Close Percentage,0,REJECTION,,schema,REJECTED,Unknown: Smart Motorized Blinds/Open/Close Percentage,62.99419179894177
2026-06-10T22:01:48.328588,Smart Motorized Blinds__Open/Close Percentage,Smart Motorized Blinds,Open/Close Percentage,0,REJECTION,,schema,REJECTED,Unknown: Smart Motorized Blinds/Open/Close Percentage,62.99419179894177
2026-06-10T22:01:49.325899,Smart Motorized Blinds__Open/Close Percentage,Smart Motorized Blinds,Open/Close Percentage,0,REJECTION,,schema,REJECTED,Unknown: Smart Motorized Blinds/Open/Close Percentage,62.99419179894177
2026-06-10T22:01:50.269951,Smart Motorized Blinds__Open/Close Percentage,Smart Motorized Blinds,Open/Close Percentage,0,REJECTION,,schema,REJECTED,Unknown: Smart Motorized Blinds/Open/Close Percentage,62.99419179894177
2026-06-10T22:01:51.298761,Smart Motorized Blinds__Open/Close Percentage,Smart Motorized Blinds,Open/Close Percentage,0,REJECTION,,schema,REJECTED,Unknown: Smart Motorized Blinds/Open/Close Percentage,62.99419179894177
2026-06-10T22:01:52.278619,Smart Motorized Blinds__Open/Close Percentage,Smart Motorized Blinds,Open/Close Percentage,0,REJECTION,,schema,REJECTED,Unknown: Smart Motorized Blinds/Open/Close Percentage,62.99419179894177
2026-06-10T22:01:53.261688,Smart Motorized Blinds__Open/Close Percentage,Smart Motorized Blinds,Open/Close Percentage,0,REJECTION,,schema,REJECTED,Unknown: Smart Motorized Blinds/Open/Close Percentage,62.99419179894177
2026-06-10T22:01:54.331818,Smart Motorized Blinds__Open/Close Percentage,Smart Motorized Blinds,Open/Close Percentage,0,REJECTION,,schema,REJECTED,Unknown: Smart Motorized Blinds/Open/Close Percentage,62.99419179894177
2026-06-10T22:01:55.272727,Smart Motorized Blinds__Open/Close Percentage,Smart Motorized Blinds,Open/Close Percentage,0,REJECTION,,schema,REJECTED,Unknown: Smart Motorized Blinds/Open/Close Percentage,62.99419179894177
2026-06-10T22:01:56.331400,Smart Motorized Blinds__Open/Close Percentage,Smart Motorized Blinds,Open/Close Percentage,0,REJECTION,,schema,REJECTED,Unknown: Smart Motorized Blinds/Open/Close Percentage,62.99419179894177
2026-06-10T22:01:57.288508,Smart Motorized Blinds__Open/Close Percentage,Smart Motorized Blinds,Open/Close Percentage,0,REJECTION,,schema,REJECTED,Unknown: Smart Motorized Blinds/Open/Close Percentage,62.99419179894177
2026-06-10T22:01:58.470752,Smart Motorized Blinds__Open/Close Percentage,Smart Motorized Blinds,Open/Close Percentage,0,REJECTION,,schema,REJECTED,Unknown: Smart Motorized Blinds/Open/Close Percentage,62.99419179894177
